"Round 0"                      "Time (ms)"
"forwarding graph"       10.63
"disjoint edge"            5.725
"loop free"                     3.152
"blackhole"                0.989


"Round 1"                      "Time (ms)"
"forwarding graph"       10.952
"disjoint edge"            3.697
"loop free"                     2.734
"blackhole"                0.663


"Round 2"                      "Time (ms)"
"forwarding graph"       9.256
"disjoint edge"            3.348
"loop free"                     2.703
"blackhole"                0.507


"Round 3"                      "Time (ms)"
"forwarding graph"       10.731
"disjoint edge"            5.116
"loop free"                     3.329
"blackhole"                0.643


"Round 4"                      "Time (ms)"
"forwarding graph"       10.142
"disjoint edge"            4.184
"loop free"                     2.728
"blackhole"                0.498


"Round 5"                      "Time (ms)"
"forwarding graph"       10.607
"disjoint edge"            3.634
"loop free"                     4.246
"blackhole"                0.756


"Round 6"                      "Time (ms)"
"forwarding graph"       8.599
"disjoint edge"            5.167
"loop free"                     3.188
"blackhole"                0.416


"Round 7"                      "Time (ms)"
"forwarding graph"       10.374
"disjoint edge"            4.361
"loop free"                     2.743
"blackhole"                0.414


"Round 8"                      "Time (ms)"
"forwarding graph"       9.773
"disjoint edge"            4.546
"loop free"                     2.658
"blackhole"                0.474


"Round 9"                      "Time (ms)"
"forwarding graph"       10.08
"disjoint edge"            4.454
"loop free"                     2.733
"blackhole"                0.394


"Round 10"                      "Time (ms)"
"forwarding graph"       9.882
"disjoint edge"            4.734
"loop free"                     2.656
"blackhole"                0.591


"Round 11"                      "Time (ms)"
"forwarding graph"       10.006
"disjoint edge"            3.643
"loop free"                     2.57
"blackhole"                0.499


"Round 12"                      "Time (ms)"
"forwarding graph"       9.755
"disjoint edge"            4.214
"loop free"                     2.568
"blackhole"                0.396


"Round 13"                      "Time (ms)"
"forwarding graph"       9.385
"disjoint edge"            3.479
"loop free"                     2.724
"blackhole"                0.448


"Round 14"                      "Time (ms)"
"forwarding graph"       1.974
"disjoint edge"            3.804
"loop free"                     2.538
"blackhole"                0.63


"Round 15"                      "Time (ms)"
"forwarding graph"       10.392
"disjoint edge"            4.381
"loop free"                     3.002
"blackhole"                0.414


