"Round 0"                      "Time (ms)"
"forwarding graph"       10.315
"disjoint edge"            4.301
"loop free"                     1.249
"blackhole"                0.69


"Round 1"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            1.626
"loop free"                     1.152
"blackhole"                0.306


"Round 2"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.601
"loop free"                     1.151
"blackhole"                0.286


"Round 3"                      "Time (ms)"
"forwarding graph"       0.649
"disjoint edge"            2.057
"loop free"                     3.058
"blackhole"                0.348


"Round 4"                      "Time (ms)"
"forwarding graph"       0.66
"disjoint edge"            1.527
"loop free"                     1.106
"blackhole"                0.349


"Round 5"                      "Time (ms)"
"forwarding graph"       0.652
"disjoint edge"            1.676
"loop free"                     1.199
"blackhole"                0.307


"Round 6"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            1.64
"loop free"                     1.394
"blackhole"                0.312


"Round 7"                      "Time (ms)"
"forwarding graph"       0.696
"disjoint edge"            1.645
"loop free"                     1.224
"blackhole"                0.325


"Round 8"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.618
"loop free"                     1.155
"blackhole"                0.312


"Round 9"                      "Time (ms)"
"forwarding graph"       0.738
"disjoint edge"            2.038
"loop free"                     1.739
"blackhole"                0.49


"Round 10"                      "Time (ms)"
"forwarding graph"       0.722
"disjoint edge"            2.646
"loop free"                     1.211
"blackhole"                0.329


"Round 11"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.617
"loop free"                     1.173
"blackhole"                0.299


"Round 12"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            2.726
"loop free"                     1.988
"blackhole"                0.6


"Round 13"                      "Time (ms)"
"forwarding graph"       1.005
"disjoint edge"            1.656
"loop free"                     1.255
"blackhole"                0.432


"Round 14"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.647
"loop free"                     1.177
"blackhole"                0.414


"Round 15"                      "Time (ms)"
"forwarding graph"       0.64
"disjoint edge"            1.74
"loop free"                     1.483
"blackhole"                0.577


"Round 16"                      "Time (ms)"
"forwarding graph"       1.033
"disjoint edge"            2.082
"loop free"                     1.595
"blackhole"                0.627


"Round 17"                      "Time (ms)"
"forwarding graph"       1.346
"disjoint edge"            2.91
"loop free"                     1.196
"blackhole"                0.346


"Round 18"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.63
"loop free"                     1.171
"blackhole"                0.308


"Round 19"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.705
"loop free"                     1.229
"blackhole"                0.323


"Round 20"                      "Time (ms)"
"forwarding graph"       1.198
"disjoint edge"            1.771
"loop free"                     1.128
"blackhole"                0.332


"Round 21"                      "Time (ms)"
"forwarding graph"       0.653
"disjoint edge"            1.756
"loop free"                     1.186
"blackhole"                0.32


"Round 22"                      "Time (ms)"
"forwarding graph"       0.697
"disjoint edge"            2.682
"loop free"                     2.559
"blackhole"                3.92


"Round 23"                      "Time (ms)"
"forwarding graph"       1.407
"disjoint edge"            2.989
"loop free"                     1.51
"blackhole"                0.503


"Round 24"                      "Time (ms)"
"forwarding graph"       1.224
"disjoint edge"            1.847
"loop free"                     1.182
"blackhole"                0.307


"Round 25"                      "Time (ms)"
"forwarding graph"       0.96
"disjoint edge"            1.647
"loop free"                     1.165
"blackhole"                0.312


"Round 26"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.602
"loop free"                     1.173
"blackhole"                0.421


"Round 27"                      "Time (ms)"
"forwarding graph"       1.416
"disjoint edge"            2.76
"loop free"                     1.134
"blackhole"                0.305


"Round 28"                      "Time (ms)"
"forwarding graph"       1.203
"disjoint edge"            1.719
"loop free"                     1.189
"blackhole"                0.318


"Round 29"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.613
"loop free"                     1.186
"blackhole"                0.308


"Round 30"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.626
"loop free"                     1.568
"blackhole"                0.504


"Round 31"                      "Time (ms)"
"forwarding graph"       0.741
"disjoint edge"            2.355
"loop free"                     1.393
"blackhole"                0.358


"Round 32"                      "Time (ms)"
"forwarding graph"       1.307
"disjoint edge"            2.525
"loop free"                     1.219
"blackhole"                0.319


"Round 33"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.619
"loop free"                     1.163
"blackhole"                0.297


"Round 34"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.609
"loop free"                     1.165
"blackhole"                0.305


"Round 35"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            1.684
